Code commune;Libellé commune;Libellé région;Libellé typologie;Population municipale 2016
01128;Courtes;Auvergne-Rhône-Alpes;Communes peu denses;310
01129;Crans;Auvergne-Rhône-Alpes;Communes très peu denses;263
01130;Bresse Vallons;Auvergne-Rhône-Alpes;Communes peu denses;2 263
01133;Cressin-Rochefort;Auvergne-Rhône-Alpes;Communes peu denses;393
01134;Crottet;Auvergne-Rhône-Alpes;Communes peu denses;1 734
01135;Crozet;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;2 126
01136;Cruzilles-lès-Mépillat;Auvergne-Rhône-Alpes;Communes peu denses;855
01138;Culoz;Auvergne-Rhône-Alpes;Communes peu denses;3 053
01139;Curciat-Dongalon;Auvergne-Rhône-Alpes;Communes peu denses;443
01140;Curtafond;Auvergne-Rhône-Alpes;Communes peu denses;770
01141;Cuzieu;Auvergne-Rhône-Alpes;Communes peu denses;436
01142;Dagneux;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;4 706
01143;Divonne-les-Bains;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;9 465
01145;Dompierre-sur-Veyle;Auvergne-Rhône-Alpes;Communes peu denses;1 164
01146;Dompierre-sur-Chalaronne;Auvergne-Rhône-Alpes;Communes peu denses;431
01147;Domsure;Auvergne-Rhône-Alpes;Communes très peu denses;483
01148;Dortan;Auvergne-Rhône-Alpes;Communes peu denses;1 846
01149;Douvres;Auvergne-Rhône-Alpes;Communes peu denses;1 053
01150;Drom;Auvergne-Rhône-Alpes;Communes très peu denses;217
01151;Druillat;Auvergne-Rhône-Alpes;Communes peu denses;1 157
01152;Échallon;Auvergne-Rhône-Alpes;Communes peu denses;760
01153;Échenevex;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;2 172
01155;Évosges;Auvergne-Rhône-Alpes;Communes très peu denses;145
01156;Faramans;Auvergne-Rhône-Alpes;Communes peu denses;801
01157;Fareins;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;2 203
01158;Farges;Auvergne-Rhône-Alpes;Communes peu denses;1 013
01159;Feillens;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;3 254
01160;Ferney-Voltaire;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;9 637
01162;Flaxieu;Auvergne-Rhône-Alpes;Communes peu denses;69
01163;Foissiat;Auvergne-Rhône-Alpes;Communes peu denses;2 062
01165;Francheleins;Auvergne-Rhône-Alpes;Communes peu denses;1 574
01166;Frans;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;2 334
01167;Garnerans;Auvergne-Rhône-Alpes;Communes peu denses;654
01169;Genouilleux;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;600
01170;Béard-Géovreissiat;Auvergne-Rhône-Alpes;Communes peu denses;1 039
